"word1","word2","n"
"covid","19",217276
"19","pandemic",150996
"consumers","workers",100814
"families","consumers",100814
"property","tax",46608
"social","distancing",43873
"residential","building",37209
"bulk","items",37161
"symptoms","prevention",36021
"resources","services",27154
"services","rules",27060
"coronavirus","covid",25272
"insurance","claim",25264
"unemployment","insurance",25264
"camera","violation",23248
"closures","rules",23172
"distancing","guidance",23172
"essential","services",23172
"york","city",22918
"pickup","appointment",20729
"distancing","violation",20701
"bulk","item",20202
"item","pickup",20202
"items","schedule",20202
"reschedule","cancel",20202
"schedule","reschedule",20202
"noisy","neighbor",20147
"payment","dispute",19288
"hot","water",18044
"camera","violations",17305
"low","income",17002
"scheduled","appointment",16959
"service","day",16959
"air","conditioners",16949
"tax","bill",16066
"food","stamps",15942
"assistance","program",15938
"nutrition","assistance",15938
"program","snap",15938
"supplemental","nutrition",15938
"privately","owned",15769
"owned","residential",15651
"parking","ticket",15440
"garbage","recycling",13579
"appeal","status",13047
"report","noise",12762
"city","government",12567
"account","information",12524
"tax","bills",12524
"disputes","including",12326
"including","eviction",12326
"ongoing","disputes",12326
"government","processes",12312
"mayor","including",12312
"submit","opinions",12312
"request","filed",12067
"service","request",12067
"afford","delivery",11952
"food","delivery",11952
"birth","certificate",11883
"fair","fares",11487
"service","provided",11158
"contact","information",11154
"increase","exemption",11138
"rent","increase",11138
"recycling","organics",10738
"city","agencies",10472
"price","gouging",10218
"report","price",10218
"specific","person",10023
"homeless","shelter",9915
"public","assistance",9892
"location","information",9541
"office","location",9541
"social","security",9361
"parking","permit",9355
"free","air",9311
"eligible","low",9296
"income","seniors",9296
"people","age",9195
"public","school",8583
"care","physician",8577
"primary","care",8577
"job","center",8473
"vehicle","parked",8322
"assistance","welfare",8012
"center","locations",8012
"report","illegal",7944
"abandoned","vehicle",7920
"york","city's",7900
"license","plates",7887
"emergency","vehicle",7819
"parked","illegally",7819
"towed","vehicle",7700
"chlorofluorocarbon","gas",7653
"curbside","disposal",7653
"gas","including",7653
"including","refrigerators",7653
"tax","payment",7589
"building","construction",7567
"authority","mta",7454
"metropolitan","transportation",7454
"subway","run",7454
"transportation","authority",7454
"illegal","practices",7303
"report","unfair",7303
"physician","appointment",7263
"private","property",7137
"age","60",7111
"senior","citizen",6730
"health","insurance",6589
"report","trash",6576
"change","requests",6530
"parking","suspensions",6530
"renew","replace",6476
"violation","payment",6241
"trash","recycling",6221
"discount","metrocard",6046
"fares","discount",6046
"metrocard","program",6046
"specific","address",5953
"city","housing",5774
"housing","authority",5774
"citizen","rent",5569
"exemption","drie",5569
"exemption","scrie",5569
"essential","construction",5526
"emergency","assistance",5510
"property","taxes",5503
"short","term",5495
"term","emergency",5488
"system","including",5458
"disability","rent",5347
"police","service",5345
"psa","locations",5345
"tax","filing",5272
"air","conditioner",5270
"housing","preservation",5212
"treatment","referrals",5147
"crisis","services",5116
"free","confidential",5116
"shelter","intake",5059
"federal","taxes",5040
"tax","benefits",4893
"medical","condition",4879
"home","delivery",4788
"business","tax",4683
"child","care",4607
"mental","health",4601
"lost","stolen",4589
"fares","metrocard",4549
"stolen","damaged",4549
"report","water",4544
"benefit","apply",4519
"security","card",4519
"security","disability",4519
"ssi","benefit",4519
"substance","abuse",4493
"abuse","issues",4489
"including","crisis",4489
"issues","including",4489
"cash","assistance",4486
"development","hpd",4473
"commits","fraud",4412
"deceptive","practices",4412
"governor","andrew",4370
"police","department",4326
"city","jail",4319
"benefit","cards",4316
"card","balance",4316
"change","pin",4316
"medicaid","benefit",4316
"replace","lost",4316
"snap","cash",4316
"stolen","cards",4316
"including","threats",4289
"jail","system",4289
"collection","days",4245
"profit","address",4245
"homeless","person",4231
"york","police",4140
"vehicle","towed",4121
"personal","property",4069
"report","building",4043
"public","property",3991
"ownership","records",3985
"property","ownership",3985
"emergency","services",3983
"government","information",3983
"stop","shop",3983
"signs","stickers",3941
"noisy","unsafe",3936
"registrations","titles",3927
"titles","license",3927
"vehicle","registrations",3927
"rental","assistance",3902
"tax","exemption",3896
"promote","recycling",3892
"illegal","dumping",3869
"driver","licenses",3736
"road","test",3736
"homeowners","65",3711
"account","updates",3678
"appeals","transfers",3678
"drie","including",3678
"including","appeals",3678
"criminal","moving",3653
"moving","violations",3653
"vehicle","including",3620
"pay","parking",3585
"construction","including",3561
"including","jackhammer",3561
"jackhammer","noise",3561
"public","space",3549
"parking","tickets",3535
"related","services",3524
"tickets","camera",3524
"hpd","complaints",3508
"5","boroughs",3455
"city's","idnyc",3455
"identification","card",3455
"idnyc","municipal",3455
"municipal","identification",3455
"section","8",3392
"regulated","apartments",3367
"rent","regulated",3367
"free","legal",3338
"lawyer","referral",3259
"legal","services",3259
"referral","free",3259
"insurance","coverage",3235
"related","emergency",3219
"health","code",3180
"laws","health",3167
"life","laws",3167
"pay","dispute",3167
"ticket","issued",3167
"violating","quality",3167
"eligible","adults",3165
"free","health",3165
"engine","idling",3117
"honking","engine",3117
"horn","honking",3117
"including","horn",3117
"loud","music",3117
"tax","credit",3106
"income","tax",3029
"apartment","building",2996
"additional","assistance",2992
"authority","tenant",2992
"star","property",2978
"financial","assistance",2970
"request","correct",2934
"public","hospitals",2864
"postal","service",2853
"service","products",2853
"organics","collection",2841
"filing","options",2835
"free","tax",2835
