"word1","word2","n"
"york","city",96811
"residential","building",73178
"covid","19",71771
"privately","owned",51291
"owned","residential",50799
"camera","violation",49792
"property","tax",49578
"payment","dispute",42910
"camera","violations",40204
"york","city's",40056
"bulk","items",38357
"parking","permit",33891
"parking","ticket",33225
"5","boroughs",32844
"city's","idnyc",32844
"identification","card",32844
"idnyc","municipal",32844
"municipal","identification",32844
"appeal","status",30566
"towed","vehicle",30019
"vehicle","parked",28659
"emergency","vehicle",27959
"parked","illegally",27959
"request","filed",26552
"service","request",26552
"city","agencies",26334
"service","provided",25528
"pickup","appointment",25362
"bulk","item",24529
"item","pickup",24529
"items","schedule",24529
"reschedule","cancel",24529
"schedule","reschedule",24529
"assistance","program",24452
"abandoned","vehicle",23742
"child","care",22490
"tax","bill",20626
"increase","exemption",20580
"rent","increase",20580
"social","security",20322
"scheduled","appointment",20231
"service","day",20231
"fair","fares",19713
"contact","information",19386
"renew","replace",19171
"rental","assistance",19085
"public","property",17802
"low","income",17003
"birth","certificate",16376
"private","property",16339
"19","pandemic",16123
"homeless","shelter",15787
"system","including",15462
"specific","person",15419
"license","plates",15150
"report","trash",15096
"trash","recycling",14894
"food","stamps",14613
"nutrition","assistance",14612
"program","snap",14612
"supplemental","nutrition",14612
"report","illegal",14597
"disputes","including",14481
"including","eviction",14481
"ongoing","disputes",14481
"specific","address",14302
"public","school",14027
"19","vaccine",13893
"report","noise",13795
"authority","mta",13624
"metropolitan","transportation",13624
"subway","run",13624
"transportation","authority",13624
"housing","preservation",13478
"income","households",13220
"hot","water",13152
"air","conditioner",13105
"city","jail",12982
"including","threats",12932
"jail","system",12932
"medical","condition",12513
"violation","payment",12344
"residential","tenants",12271
"tenants","affected",12271
"city","housing",12207
"housing","authority",12207
"report","water",12153
"development","hpd",12142
"police","service",11740
"psa","locations",11740
"covid","vaccination",11639
"proving","covid",11639
"vaccination","status",11639
"vaccine","record",11639
"consumers","workers",11505
"families","consumers",11505
"fire","hydrant",11319
"public","assistance",11247
"account","information",11186
"tax","bills",11186
"air","conditioners",11084
"chlorofluorocarbon","gas",11084
"curbside","disposal",11084
"gas","including",11084
"including","refrigerators",11084
"senior","citizen",10871
"property","taxes",10843
"people","age",10657
"application","status",10540
"treatment","referrals",10435
"crisis","services",10380
"free","confidential",10380
"financial","assistance",10377
"hpd","complaints",10302
"citizen","rent",10290
"exemption","drie",10290
"exemption","scrie",10290
"status","correct",10274
"account","updates",10261
"appeals","transfers",10261
"drie","including",10261
"including","appeals",10261
"moderate","income",10224
"rats","mice",9954
"benefit","apply",9843
"disability","rent",9843
"security","card",9843
