"word1","word2","n"
"covid","19",207121
"19","pandemic",127248
"york","city",120555
"bulk","items",92862
"residential","building",69712
"consumers","workers",63773
"families","consumers",63773
"pickup","appointment",55732
"bulk","item",55187
"item","pickup",55187
"items","schedule",55187
"reschedule","cancel",55187
"schedule","reschedule",55187
"property","tax",54782
"air","conditioners",51118
"social","distancing",50550
"privately","owned",47393
"owned","residential",46914
"afford","delivery",46587
"food","delivery",46587
"camera","violation",46304
"low","income",44524
"report","trash",39973
"scheduled","appointment",37675
"service","day",37675
"trash","recycling",37675
"birth","certificate",37505
"report","noise",35712
"parking","ticket",34069
"parking","permit",34064
"payment","dispute",33254
"fair","fares",32709
"request","filed",32004
"service","request",32004
"distancing","guidance",31830
"camera","violations",30721
"chlorofluorocarbon","gas",29503
"curbside","disposal",29503
"gas","including",29503
"including","refrigerators",29503
"abandoned","vehicle",29488
"vehicle","parked",28789
"emergency","vehicle",27841
"parked","illegally",27841
"closures","service",27463
"report","illegal",26139
"york","city's",25252
"social","security",24989
"increase","exemption",24968
"rent","increase",24968
"service","provided",23744
"noisy","neighbor",23624
"towed","vehicle",23502
"appeal","status",23476
"city","agencies",22200
"private","property",21812
"contact","information",21789
"free","air",21641
"eligible","low",21615
"income","seniors",21615
"license","plates",20785
"learning","options",20750
"options","school",20750
"school","health",20750
"disputes","including",20527
"including","eviction",20527
"ongoing","disputes",20527
"location","information",20398
"office","location",20398
"branch","cracked",19811
"cracked","branches",19811
"fallen","tree",19811
"poor","condition",19811
"renew","replace",19620
"specific","person",19425
"public","assistance",18811
"food","stamps",18381
"assistance","program",18375
"nutrition","assistance",18375
"program","snap",18375
"supplemental","nutrition",18375
"distancing","violation",17986
"homeless","shelter",17946
"5","boroughs",16976
"city's","idnyc",16976
"identification","card",16976
"idnyc","municipal",16976
"municipal","identification",16976
"change","requests",16875
"parking","suspensions",16875
"tax","bill",16359
"authority","mta",16350
"metropolitan","transportation",16350
"subway","run",16350
"transportation","authority",16350
"child","care",16323
"discount","metrocard",16225
"fares","discount",16225
"metrocard","program",16225
"illegal","dumping",16111
"financial","assistance",16080
"insurance","claim",15853
"unemployment","insurance",15853
"account","information",15661
"tax","bills",15661
"residential","tenants",15105
"tenants","affected",15105
"public","property",14837
"lost","stolen",14694
"fares","metrocard",14581
"stolen","damaged",14581
"hot","water",14580
"specific","address",14496
"building","construction",14388
"account","updates",14101
"appeals","transfers",14101
"drie","including",14101
"including","appeals",14101
"city","housing",13916
"housing","authority",13916
"housing","preservation",13888
"emergency","assistance",13547
"short","term",13528
"term","emergency",13480
"senior","citizen",13448
"job","center",13284
"people","age",12708
"registration","status",12695
"assistance","welfare",12680
"center","locations",12680
"citizen","rent",12484
"exemption","drie",12484
"exemption","scrie",12484
"police","service",12339
"psa","locations",12339
"city","government",12318
"public","school",12246
"fire","hydrant",12121
"police","department",11997
"disability","rent",11960
"development","hpd",11883
"homeless","person",11870
"government","processes",11701
"mayor","including",11701
"submit","opinions",11701
"benefit","apply",11638
"security","card",11638
"security","disability",11638
"ssi","benefit",11638
"york","police",11566
"system","including",10984
"report","water",10648
"treatment","referrals",10585
"application","status",10569
"crisis","services",10536
"free","confidential",10536
"air","conditioner",10509
"vehicle","towed",10404
"power","outage",10210
"health","insurance",10200
"driver","licenses",10193
"road","test",10193
"rent","regulated",10187
"rental","assistance",10165
"public","space",10080
"property","taxes",9965
"city","tree",9962
"collection","days",9919
"illegal","fireworks",9919
"profit","address",9919
"recycling","collection",9919
"tax","payment",9860
"vehicle","including",9796
"violation","payment",9778
"report","building",9726
"section","8",9674
