"Incident.Zip","phase0","phase1","phase2","phase3","phase4","phase5"
10000,0,0,5,3,0,4
10001,0,104,620,529,67,106
10002,0,65,506,347,57,81
10003,0,65,679,470,68,102
10004,0,8,107,95,9,29
10005,0,5,65,68,15,20
10006,0,9,54,29,2,6
10007,0,26,95,83,11,21
10009,0,76,445,320,43,65
10010,0,17,264,206,28,51
10011,0,78,479,481,58,87
10012,0,24,472,424,50,71
10013,0,41,437,391,50,54
10014,0,58,565,397,74,95
10016,0,48,434,387,34,78
10017,0,25,166,162,34,46
10018,0,25,343,344,39,85
10019,0,56,486,417,62,179
10020,0,7,10,28,6,6
10021,0,24,208,118,22,33
10022,0,40,381,250,51,100
10023,0,68,284,244,29,41
10024,0,75,259,152,20,60
10025,0,106,333,246,34,57
10026,0,14,142,105,11,13
10027,0,48,312,222,24,33
10028,0,108,435,232,26,111
10029,0,38,257,203,14,26
10030,0,8,104,82,2,11
10031,0,20,193,153,8,14
10032,0,15,192,177,9,10
10033,0,15,259,201,11,18
10034,0,14,251,157,13,12
10035,0,13,163,135,5,20
10036,0,40,375,345,64,133
10037,0,5,100,49,4,2
10038,0,27,179,122,20,33
10039,0,23,82,75,6,14
10040,0,10,154,124,12,15
10041,0,0,14,2,0,1
10044,0,5,18,23,1,5
10045,0,0,0,0,0,0
10048,0,0,0,0,0,0
10055,0,0,1,4,0,0
10065,0,35,197,102,18,38
10069,0,5,9,6,1,1
10075,0,48,178,117,9,23
10103,0,0,6,9,1,0
10105,0,0,0,0,0,0
10106,0,0,0,1,0,0
10107,0,0,1,0,0,0
10110,0,0,1,3,0,0
10111,0,0,3,5,0,0
10112,0,0,8,9,0,0
10115,0,0,1,0,0,0
10118,0,0,1,1,0,2
10119,0,0,2,1,0,1
10120,0,0,3,3,1,0
10121,0,0,2,2,4,8
10122,0,0,0,2,0,0
10123,0,0,0,0,0,1
10128,0,68,226,181,14,29
10151,0,0,1,3,0,0
10152,0,0,1,1,0,0
10153,0,0,5,3,1,1
10154,0,0,2,1,0,1
10155,0,0,1,7,1,0
10158,0,0,0,1,0,3
10162,0,0,1,0,0,0
10165,0,0,0,1,2,0
10166,0,0,1,0,0,0
10167,0,0,1,2,0,0
10168,0,0,0,3,0,1
10169,0,1,2,3,1,1
10170,0,0,18,4,0,0
10171,0,0,1,0,0,0
10172,0,0,0,0,0,0
10173,0,0,0,0,0,0
10174,0,0,0,0,0,0
10176,0,0,1,1,0,1
10177,0,0,0,0,0,0
10178,0,0,3,1,0,0
10179,0,0,1,0,0,0
10271,0,0,3,10,0,0
10278,0,0,4,3,0,0
10279,0,0,2,2,0,1
10280,0,0,15,11,3,4
10281,0,0,2,3,1,8
10282,0,1,15,5,1,5
10301,0,26,165,149,27,24
10302,0,11,94,59,18,24
10303,0,2,69,60,3,9
10304,0,16,179,130,32,31
10305,0,24,131,127,22,53
10306,0,21,237,261,55,52
10307,0,8,246,125,29,33
10308,0,8,91,75,19,37
10309,0,14,243,221,46,57
10310,0,4,82,63,15,32
10312,0,21,219,177,26,52
10314,0,21,355,369,66,101
10451,0,33,177,169,13,16
10452,0,10,208,146,13,19
10453,0,15,93,100,8,9
10454,0,20,121,127,10,20
10455,0,6,135,131,11,17
10456,0,6,85,117,4,8
10457,0,12,166,140,9,19
10458,0,12,291,335,16,25
10459,0,6,107,98,1,6
10460,0,8,113,96,2,3
10461,0,25,282,285,32,43
10462,0,5,189,190,30,29
10463,0,21,217,173,17,37
10464,0,0,69,30,9,8
10465,0,11,149,81,14,43
10466,0,11,115,77,1,7
10467,0,11,237,150,8,11
10468,0,8,161,114,11,16
10469,0,5,133,111,6,13
10470,0,5,70,64,2,8
10471,0,18,63,51,5,13
10472,0,19,278,218,24,14
10473,0,8,78,112,4,2
10474,0,1,35,49,3,12
10475,0,4,106,103,6,14
11001,0,0,7,1,0,0
11004,0,6,50,23,0,1
